env: {'python': '3.12.13', 'torch': '2.10.0+cu128', 'cuda': '12.8', 'cudnn': 91002, 'gpu': 'Tesla T4', 'gpu_mem_gb': 14.56} | code bdf5b8b3ebbc
[timeprest_graph    lr=0.05 ] train 4.46 4.08 3.81 3.56 3.33 3.02 2.75 2.55 | test top1 31.90% loss 2.641
[timeprest_recompute lr=0.05 ] train 4.34 3.94 3.65 3.33 3.02 2.69 2.40 2.19 | test top1 38.30% loss 2.372
[pipedream          lr=0.05 ] train 4.33 3.94 3.67 3.38 3.11 2.78 2.47 2.27 | test top1 35.05% loss 2.486
[timeprest_graph    lr=0.02 ] train 4.46 4.02 3.77 3.45 3.15 2.84 2.59 2.42 | test top1 34.70% loss 2.564
[timeprest_recompute lr=0.02 ] train 4.42 3.88 3.62 3.28 2.95 2.64 2.40 2.24 | test top1 36.60% loss 2.428
[pipedream          lr=0.02 ] train 4.40 3.86 3.64 3.31 2.98 2.66 2.40 2.25 | test top1 35.95% loss 2.460
[timeprest_graph    lr=0.01 ] train 4.50 4.00 3.73 3.43 3.13 2.88 2.67 2.57 | test top1 31.40% loss 2.676
[timeprest_recompute lr=0.01 ] train 4.50 3.96 3.65 3.35 3.07 2.82 2.62 2.51 | test top1 32.90% loss 2.608
[pipedream          lr=0.01 ] train 4.49 3.94 3.62 3.31 3.03 2.80 2.58 2.47 | test top1 31.95% loss 2.634
[timeprest_graph    lr=0.005] train 4.55 4.18 3.76 3.53 3.31 3.11 2.98 2.91 | test top1 26.60% loss 2.939
[timeprest_recompute lr=0.005] train 4.55 4.14 3.73 3.49 3.28 3.09 2.96 2.90 | test top1 26.75% loss 2.921
[pipedream          lr=0.005] train 4.54 4.12 3.69 3.47 3.24 3.05 2.90 2.84 | test top1 28.05% loss 2.905

| variant | lr | train_loss_by_epoch | max_train_loss_after_warmup | final_train_loss | final_test_loss | final_test_acc1 | final_test_acc5 | epoch_1gpu_s | epoch_est_2gpu_s |
|---|---|---|---|---|---|---|---|---|---|
| timeprest_graph | 0.05 | 4.46 4.08 3.81 3.56 3.33 3.02 2.75 2.55 | 3.81011 | 2.54724 | 2.64137 | 31.9 | 64.1 | 8.6 | 6.76 |
| timeprest_recompute | 0.05 | 4.34 3.94 3.65 3.33 3.02 2.69 2.40 2.19 | 3.6475 | 2.19151 | 2.37245 | 38.3 | 71.3 | 11.61 | 9.72 |
| pipedream | 0.05 | 4.33 3.94 3.67 3.38 3.11 2.78 2.47 2.27 | 3.66784 | 2.26841 | 2.48616 | 35.05 | 68.0 | 8.09 | 4.34 |
| timeprest_graph | 0.02 | 4.46 4.02 3.77 3.45 3.15 2.84 2.59 2.42 | 3.76898 | 2.42396 | 2.56425 | 34.7 | 67.35 | 8.92 | 7.0 |
| timeprest_recompute | 0.02 | 4.42 3.88 3.62 3.28 2.95 2.64 2.40 2.24 | 3.61917 | 2.23747 | 2.42806 | 36.6 | 69.9 | 11.6 | 9.71 |
| pipedream | 0.02 | 4.40 3.86 3.64 3.31 2.98 2.66 2.40 2.25 | 3.64431 | 2.24948 | 2.46027 | 35.95 | 69.9 | 7.61 | 3.87 |
| timeprest_graph | 0.01 | 4.50 4.00 3.73 3.43 3.13 2.88 2.67 2.57 | 3.72967 | 2.56585 | 2.67581 | 31.4 | 64.7 | 8.92 | 7.0 |
| timeprest_recompute | 0.01 | 4.50 3.96 3.65 3.35 3.07 2.82 2.62 2.51 | 3.65486 | 2.51308 | 2.60754 | 32.9 | 65.9 | 11.6 | 9.72 |
| pipedream | 0.01 | 4.49 3.94 3.62 3.31 3.03 2.80 2.58 2.47 | 3.62323 | 2.47471 | 2.6339 | 31.95 | 64.9 | 7.61 | 3.87 |
| timeprest_graph | 0.005 | 4.55 4.18 3.76 3.53 3.31 3.11 2.98 2.91 | 3.75932 | 2.90592 | 2.93928 | 26.6 | 57.55 | 8.9 | 6.99 |
| timeprest_recompute | 0.005 | 4.55 4.14 3.73 3.49 3.28 3.09 2.96 2.90 | 3.7296 | 2.89694 | 2.92063 | 26.75 | 59.15 | 11.6 | 9.71 |
| pipedream | 0.005 | 4.54 4.12 3.69 3.47 3.24 3.05 2.90 2.84 | 3.69364 | 2.8388 | 2.90524 | 28.05 | 59.6 | 7.62 | 3.88 |
