epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.33519,4.896,3.86699,10.07,30.62,-0.4682,1.5384615384615384e-05,15.361,0.932|0.868,0.76|1.58,905.0|355.0,3120.0|3120.0,260|260,0|0,2|0,243,49920,15.36
2,3.60754,14.121,3.45539,16.83,43.31,-0.15215,0.004015384615384615,15.353,0.978|0.713,0.05|3.99,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,30.71
3,3.20343,20.641,3.74919,16.26,43.7,0.54575,0.008015384615384615,15.354,0.977|0.723,0.06|3.79,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,46.07
4,2.87373,26.767,2.86175,28.4,58.99,-0.01198,0.012015384615384615,15.302,0.979|0.744,0.05|3.45,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,61.37
5,2.58386,32.618,2.70794,32.06,63.64,0.12408,0.016015384615384615,15.389,0.973|0.758,0.11|3.26,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,76.76
6,2.27153,39.319,2.35289,38.46,71.32,0.08136,0.02,15.453,0.979|0.733,0.07|3.67,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,92.21
7,2.02628,44.698,2.208,41.18,73.52,0.18172,0.019997946042345126,15.387,0.976|0.731,0.10|3.70,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,107.6
8,1.83629,48.954,2.54619,36.77,68.07,0.7099,0.019991785013128923,15.74,0.980|0.713,0.05|4.07,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,123.34
9,1.68534,52.79,1.95452,47.62,78.96,0.26918,0.01998151944325001,15.329,0.977|0.741,0.10|3.54,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,138.67
10,1.55626,55.797,1.83519,49.49,80.75,0.27892,0.01996715354971755,15.205,0.978|0.747,0.05|3.41,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,153.87
11,1.44965,58.243,1.71069,53.42,82.34,0.26104,0.01994869323391895,15.424,0.978|0.734,0.07|3.64,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,169.3
12,1.35329,60.669,1.72319,53.35,82.64,0.36991,0.019926146079195597,15.325,0.975|0.733,0.08|3.66,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,184.62
13,1.26732,62.923,1.70178,53.87,82.57,0.43446,0.01989952134772769,15.358,0.976|0.729,0.09|3.69,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,256,49920,199.98
14,1.18887,65.01,1.76414,52.92,81.36,0.57526,0.019868829976729445,15.259,0.977|0.742,0.07|3.51,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,215.24
15,1.11219,66.991,1.77315,53.14,81.93,0.66096,0.019834084573956128,15.173,0.978|0.747,0.08|3.38,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,256,49920,230.41
16,1.05223,68.355,1.61938,56.65,84.22,0.56714,0.019795299412524944,15.109,0.978|0.753,0.07|3.29,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,245.52
17,0.98141,70.625,1.53558,58.94,85.76,0.55417,0.01975249042505174,15.165,0.975|0.750,0.10|3.37,904.8|363.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,260.69
18,0.92674,71.815,1.60476,57.57,84.51,0.67802,0.019705675197106018,15.064,0.976|0.750,0.10|3.35,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,275.75
19,0.86486,73.584,1.61735,57.21,85.12,0.75249,0.019654872959986937,15.296,0.979|0.740,0.04|3.53,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,291.05
20,0.81813,74.852,1.51022,59.43,86.66,0.69209,0.01960010458282326,15.215,0.976|0.742,0.08|3.49,904.8|352.8,3120.0|3120.0,260|260,0|0,2|0,258,49920,306.26
21,0.76865,76.284,1.62863,57.33,84.95,0.85998,0.01954139256400049,15.261,0.979|0.737,0.07|3.56,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,321.52
22,0.70948,78.091,1.47552,60.91,86.83,0.76605,0.019478761021918728,14.98,0.978|0.754,0.06|3.24,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,336.5
23,0.66183,79.529,1.53197,60.47,86.45,0.87014,0.019412235685085034,15.088,0.976|0.747,0.08|3.39,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,351.59
24,0.62978,80.086,1.59329,59.71,85.6,0.96351,0.019341843881544373,15.019,0.977|0.754,0.09|3.25,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,366.61
25,0.58255,81.673,1.50323,61.92,87.11,0.92069,0.01926761452765349,15.133,0.964|0.774,0.27|2.98,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,256,49920,381.74
26,0.55685,82.474,1.66926,57.96,84.97,1.11241,0.019189578116202307,14.956,0.978|0.761,0.06|3.15,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,396.7
27,0.52547,83.203,1.54068,61.66,87.11,1.01522,0.019107766703887762,15.217,0.979|0.741,0.05|3.50,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,411.92
28,0.48498,84.319,1.53511,61.92,87.22,1.05013,0.019022213898145176,15.001,0.978|0.753,0.06|3.26,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,426.92
29,0.45729,85.341,1.60266,59.93,86.04,1.14537,0.018932954843342592,15.105,0.979|0.744,0.06|3.42,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,442.02
30,0.42396,86.47,1.59096,61.13,86.44,1.167,0.01884002620634378,15.153,0.979|0.745,0.05|3.43,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,457.17
31,0.38614,87.652,1.61686,61.15,86.3,1.23072,0.018743466161445822,14.989,0.980|0.753,0.03|3.24,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,472.16
32,0.37661,87.929,1.70374,59.54,86.05,1.32713,0.01864331437469738,14.978,0.978|0.757,0.07|3.19,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,487.14
33,0.34465,89.079,1.68835,61.65,86.21,1.3437,0.018539611987604256,14.851,0.974|0.764,0.10|3.07,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,501.99
34,0.31808,89.98,1.7114,59.95,85.75,1.39332,0.018432401600228823,14.954,0.979|0.757,0.05|3.20,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,516.95
35,0.29401,90.707,1.67238,61.3,85.99,1.37837,0.01832172725369024,14.764,0.978|0.763,0.06|3.09,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,531.71
36,0.29324,90.637,1.60085,62.56,87.59,1.30761,0.018207634412072765,14.839,0.980|0.757,0.05|3.17,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,546.55
37,0.26164,91.851,1.59619,62.46,87.4,1.33455,0.018090169943749474,14.979,0.976|0.753,0.09|3.27,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,561.53
38,0.24677,92.238,1.62964,62.43,87.77,1.38287,0.01796938210212915,14.944,0.976|0.750,0.08|3.29,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,576.47
39,0.23539,92.686,1.65753,62.27,86.68,1.42214,0.017845320505834174,14.781,0.973|0.768,0.11|3.00,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,591.25
40,0.23208,92.674,1.74912,61.14,85.65,1.51704,0.01771803611831762,14.989,0.977|0.753,0.07|3.28,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,606.24
41,0.21458,93.357,1.6929,62.4,86.25,1.47833,0.01758758122692791,14.838,0.979|0.761,0.05|3.13,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,621.08
42,0.20519,93.588,1.66639,62.84,87.04,1.4612,0.0174540094214296,14.96,0.977|0.754,0.07|3.21,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,636.04
43,0.20203,93.794,1.72432,61.34,85.9,1.52229,0.017317375571989157,15.006,0.977|0.751,0.05|3.27,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,651.05
44,0.18409,94.339,1.71249,61.94,86.31,1.5284,0.01717773580663479,14.996,0.979|0.750,0.06|3.32,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,666.04
45,0.1727,94.726,1.72594,62.17,86.07,1.55325,0.01703514748819948,14.915,0.979|0.758,0.04|3.16,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,680.96
46,0.16894,94.864,1.67512,63.4,86.9,1.50617,0.016889669190756868,15.064,0.978|0.749,0.07|3.35,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,696.02
47,0.15434,95.411,1.70984,61.92,87.1,1.5555,0.016741360675559473,14.948,0.978|0.755,0.06|3.20,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,710.97
48,0.16037,95.132,1.60504,64.29,87.18,1.44468,0.01659028286648932,15.001,0.980|0.750,0.03|3.33,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,725.97
49,0.14744,95.623,1.66442,62.99,87.13,1.51698,0.016436497825030885,14.933,0.978|0.749,0.06|3.32,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,740.9
50,0.14511,95.731,1.64815,63.63,87.55,1.50304,0.016280068724776796,14.947,0.978|0.756,0.06|3.21,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,755.85
51,0.14335,95.745,1.68498,63.63,86.94,1.54163,0.016121059825476628,15.079,0.979|0.743,0.07|3.48,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,770.93
52,0.15942,95.164,1.71986,62.51,86.54,1.56044,0.015959536446639572,15.247,0.978|0.740,0.07|3.54,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,786.18
53,0.14752,95.515,1.8829,59.78,85.38,1.73538,0.0157955649407017,15.121,0.979|0.746,0.07|3.40,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,801.3
54,0.13401,96.072,1.59972,64.38,87.64,1.46571,0.015629212665768978,15.25,0.980|0.739,0.04|3.55,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,816.55
55,0.12367,96.38,1.62369,64.31,87.05,1.50002,0.015460547957947103,15.254,0.978|0.739,0.08|3.55,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,831.8
56,0.11593,96.647,1.64897,63.47,86.84,1.53304,0.015289640103269624,15.458,0.978|0.728,0.08|3.80,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,847.26
57,0.10993,96.911,1.65509,64.1,87.25,1.54516,0.015116559309235824,15.2,0.977|0.742,0.08|3.51,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,862.46
58,0.11655,96.599,1.64576,63.99,87.38,1.52921,0.014941376675970057,15.184,0.978|0.741,0.07|3.49,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,877.64
59,0.1076,96.873,1.66407,63.26,87.12,1.55647,0.01476416416701445,15.379,0.977|0.735,0.07|3.64,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,893.02
60,0.10539,97.023,1.63372,64.4,87.34,1.52833,0.014584994579766863,15.09,0.978|0.750,0.06|3.33,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,908.11
61,0.09002,97.474,1.59479,65.25,87.39,1.50477,0.014403941515576344,15.367,0.979|0.732,0.07|3.65,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,923.48
62,0.08589,97.644,1.64942,64.39,86.93,1.56353,0.01422107934950832,15.163,0.982|0.745,0.04|3.44,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,938.64
63,0.07382,98.019,1.58671,65.38,87.81,1.51289,0.014036483199791948,15.125,0.980|0.747,0.05|3.40,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,953.77
64,0.07265,98.067,1.61284,65.24,87.47,1.54019,0.013850228896962177,15.003,0.979|0.750,0.07|3.33,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,968.77
65,0.06762,98.197,1.55373,66.07,88.35,1.48611,0.013662392952709228,15.089,0.979|0.748,0.06|3.35,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,983.86
66,0.06729,98.215,1.6235,64.54,87.67,1.55621,0.013473052528448201,15.211,0.980|0.732,0.04|3.65,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,999.07
67,0.06226,98.462,1.53523,65.95,88.6,1.47297,0.013282285403621863,15.047,0.979|0.743,0.06|3.41,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1014.12
68,0.06441,98.321,1.57799,65.5,88.14,1.51358,0.013090169943749475,15.062,0.976|0.748,0.09|3.35,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,1029.18
69,0.05347,98.628,1.55632,66.09,88.33,1.50284,0.012896785068234924,15.247,0.979|0.741,0.06|3.48,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1044.43
70,0.04869,98.844,1.5286,66.37,88.29,1.47991,0.012702210217947287,15.392,0.976|0.739,0.09|3.40,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1059.82
71,0.04735,98.93,1.48115,67.44,88.8,1.43381,0.012506525322587206,15.191,0.980|0.739,0.05|3.50,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1075.01
72,0.04708,98.872,1.50458,66.86,88.58,1.4575,0.012309810767852434,15.212,0.978|0.735,0.06|3.61,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1090.22
73,0.03749,99.153,1.46779,67.6,88.93,1.4303,0.012112147362416075,15.132,0.979|0.745,0.06|3.40,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1105.35
74,0.03531,99.217,1.48944,67.25,88.6,1.45413,0.011913616304731063,15.062,0.976|0.756,0.09|3.25,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,256,49920,1120.41
75,0.03527,99.185,1.48869,66.93,88.62,1.45342,0.011714299149674536,15.215,0.979|0.736,0.06|3.60,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1135.63
76,0.02642,99.489,1.4248,68.32,89.42,1.39839,0.011514277775045767,15.159,0.978|0.740,0.08|3.52,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1150.79
77,0.02542,99.499,1.44391,68.06,88.89,1.41849,0.011313634347931464,15.3,0.979|0.736,0.05|3.62,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1166.09
78,0.02121,99.601,1.39978,68.62,89.58,1.37857,0.011112451290952237,15.206,0.978|0.737,0.06|3.54,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,1181.29
79,0.01905,99.681,1.38366,68.76,89.49,1.36462,0.010910811248404064,15.092,0.979|0.745,0.07|3.40,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1196.39
80,0.01459,99.776,1.39392,68.53,89.63,1.37934,0.01070879705230873,15.05,0.980|0.753,0.05|3.31,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,256,49920,1211.44
81,0.01763,99.677,1.39911,68.69,89.31,1.38147,0.010506491688387128,14.989,0.977|0.756,0.07|3.20,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,1226.43
82,0.01382,99.796,1.3473,69.44,89.69,1.33348,0.010303978261969429,15.103,0.978|0.744,0.05|3.45,904.8|352.8,3120.0|3120.0,260|260,0|0,2|0,258,49920,1241.53
83,0.01097,99.85,1.33366,69.71,89.77,1.32269,0.01010133996385611,14.983,0.979|0.754,0.08|3.24,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1256.51
84,0.01079,99.86,1.34592,69.58,89.9,1.33513,0.009898660036143894,15.014,0.977|0.752,0.08|3.29,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1271.53
85,0.00918,99.882,1.3042,69.98,90.29,1.29501,0.009696021738030575,15.152,0.975|0.742,0.10|3.49,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1286.68
86,0.00835,99.916,1.28222,70.93,90.39,1.27387,0.009493508311612874,14.936,0.977|0.755,0.06|3.23,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1301.61
87,0.00739,99.9,1.27967,70.3,90.31,1.27228,0.009291202947691271,14.874,0.979|0.760,0.05|3.11,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1316.49
88,0.00748,99.906,1.26428,70.58,90.6,1.2568,0.009089188751595936,15.281,0.977|0.739,0.07|3.55,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1331.77
89,0.00632,99.926,1.25322,70.91,90.64,1.2469,0.008887548709047765,14.998,0.978|0.749,0.06|3.33,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1346.77
90,0.00612,99.936,1.24687,70.95,90.45,1.24075,0.008686365652068536,15.08,0.979|0.744,0.07|3.42,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1361.85
