epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.34349,4.746,3.88572,9.65,30.56,-0.45777,1.5384615384615384e-05,16.854,0.866|0.944,2.00|0.02,852.4|441.1,3120.0|3120.0,780|260,0|0,0|2,191,49920,16.85
2,3.7151,12.27,3.49305,16.03,42.17,-0.22205,0.004015384615384615,16.194,0.929|0.917,0.84|0.20,853.4|439.9,3120.0|3120.0,780|260,0|0,0|2,64,49920,33.05
3,3.41795,17.418,3.39847,18.88,46.71,-0.01948,0.008015384615384615,16.249,0.937|0.921,0.72|0.18,853.1|440.5,3120.0|3120.0,780|260,0|0,0|2,122,49920,49.3
4,3.10745,22.833,3.12478,23.39,53.15,0.01733,0.012015384615384615,16.471,0.935|0.919,0.76|0.21,853.1|439.6,3120.0|3120.0,780|260,0|0,0|2,106,49920,65.77
5,2.84227,27.79,2.73902,30.31,62.77,-0.10326,0.016015384615384615,16.422,0.934|0.919,0.79|0.21,853.4|440.2,3120.0|3120.0,780|260,0|0,0|2,38,49920,82.19
6,2.50442,34.525,2.42811,36.19,69.61,-0.07631,0.02,16.498,0.933|0.914,0.79|0.30,853.4|442.2,3120.0|3120.0,780|260,0|0,0|2,110,49920,98.69
7,2.20629,40.419,2.34677,38.52,70.57,0.14047,0.019997946042345126,16.656,0.938|0.905,0.71|0.47,853.4|440.2,3120.0|3120.0,780|260,0|0,0|2,112,49920,115.34
8,2.01949,44.836,2.22093,41.45,73.23,0.20144,0.019991785013128923,16.63,0.924|0.912,0.95|0.37,853.4|439.2,3120.0|3120.0,780|260,0|0,0|2,141,49920,131.97
9,1.85732,48.586,2.04532,45.7,76.83,0.188,0.01998151944325001,16.404,0.937|0.919,0.73|0.21,853.1|440.4,3120.0|3120.0,780|260,0|0,0|2,124,49920,148.38
10,1.71551,51.921,1.88921,48.61,79.58,0.17369,0.01996715354971755,16.535,0.937|0.914,0.73|0.27,853.4|440.8,3120.0|3120.0,780|260,0|0,0|2,83,49920,164.91
11,1.59971,54.72,1.79683,50.67,81.11,0.19712,0.01994869323391895,16.519,0.923|0.916,0.96|0.26,853.1|440.1,3120.0|3120.0,780|260,0|0,0|2,66,49920,181.43
12,1.504,56.931,1.69816,53.12,83.14,0.19416,0.019926146079195597,16.324,0.937|0.921,0.72|0.18,853.1|440.5,3120.0|3120.0,780|260,0|0,0|2,94,49920,197.76
13,1.42689,59.167,1.66007,54.63,83.13,0.23318,0.01989952134772769,16.365,0.939|0.915,0.70|0.29,853.4|439.2,3120.0|3120.0,780|260,0|0,0|2,121,49920,214.12
14,1.33736,61.29,1.69516,53.69,82.47,0.3578,0.019868829976729445,16.366,0.938|0.916,0.68|0.23,853.1|441.1,3120.0|3120.0,780|260,0|0,0|2,114,49920,230.49
15,1.2735,62.857,1.70317,53.44,83.31,0.42967,0.019834084573956128,16.44,0.939|0.915,0.69|0.26,853.4|445.5,3120.0|3120.0,780|260,0|0,0|2,112,49920,246.93
16,1.19495,64.906,1.47915,58.99,85.76,0.2842,0.019795299412524944,16.418,0.935|0.911,0.75|0.32,853.1|440.7,3120.0|3120.0,780|260,0|0,0|2,108,49920,263.35
17,1.12762,66.514,1.61213,56.35,84.45,0.48451,0.01975249042505174,16.34,0.939|0.916,0.68|0.24,853.4|440.6,3120.0|3120.0,780|260,0|0,0|2,125,49920,279.69
18,1.08082,67.692,1.58446,57.73,84.51,0.50364,0.019705675197106018,16.288,0.933|0.918,0.81|0.22,853.4|441.7,3120.0|3120.0,780|260,0|0,0|2,89,49920,295.97
19,1.02286,69.189,1.65152,56.65,83.91,0.62865,0.019654872959986937,16.339,0.931|0.919,0.82|0.21,853.1|439.4,3120.0|3120.0,780|260,0|0,0|2,98,49920,312.31
20,0.96286,70.99,1.62545,56.99,84.61,0.66259,0.01960010458282326,16.433,0.936|0.916,0.74|0.25,853.6|440.8,3120.0|3120.0,780|260,0|0,0|2,77,49920,328.75
21,0.9274,71.901,1.55205,57.88,85.98,0.62465,0.01954139256400049,16.436,0.938|0.918,0.71|0.23,853.1|440.5,3120.0|3120.0,780|260,0|0,0|2,99,49920,345.18
22,0.87233,73.347,1.44344,60.94,87.37,0.57111,0.019478761021918728,16.348,0.940|0.922,0.65|0.22,853.4|440.6,3120.0|3120.0,780|260,0|0,0|2,127,49920,361.53
23,0.81798,74.92,1.50319,60.62,86.25,0.68522,0.019412235685085034,16.464,0.935|0.915,0.75|0.27,853.1|440.1,3120.0|3120.0,780|260,0|0,0|2,116,49920,377.99
24,0.78575,75.839,1.50973,59.86,86.69,0.72398,0.019341843881544373,16.204,0.935|0.919,0.75|0.24,853.4|441.4,3120.0|3120.0,780|260,0|0,0|2,142,49920,394.2
25,0.73537,77.282,1.50663,60.83,86.7,0.77126,0.01926761452765349,16.397,0.938|0.917,0.70|0.23,853.1|440.6,3120.0|3120.0,780|260,0|0,0|2,127,49920,410.59
26,0.69998,78.229,1.44855,61.69,87.41,0.74857,0.019189578116202307,16.431,0.934|0.918,0.78|0.20,853.4|441.7,3120.0|3120.0,780|260,0|0,0|2,119,49920,427.02
27,0.66539,79.213,1.48067,61.43,87.31,0.81528,0.019107766703887762,16.312,0.939|0.917,0.69|0.20,853.6|439.9,3120.0|3120.0,780|260,0|0,0|2,118,49920,443.34
