system,bandwidth_gbps,latency_ms,epoch_time_s,busy_frac,wait_time_s,mb_sent,msgs_sent,peak_mem_mb,epochs_timed
timeprest,,0.1,17.635,0.913|0.886,1.16|0.68,3120.0|3120.0,780.0|260.0,852.6|442.1,2
pipedream,,0.1,16.564,0.937|0.635,0.76|5.41,3120.0|3120.0,260.0|260.0,905.8|366.8,2
timeprest,10,0.1,18.063,0.87|0.866,2.01|0.91,3120.0|3120.0,780.0|260.0,852.1|452.0,2
pipedream,10,0.1,16.977,0.838|0.59,2.44|6.51,3120.0|3120.0,260.0|260.0,905.8|367.8,2
timeprest,5,0.1,18.262,0.808|0.858,3.15|1.1,3120.0|3120.0,780.0|260.0,852.4|453.7,2
pipedream,5,0.1,17.921,0.656|0.558,5.87|7.45,3120.0|3120.0,260.0|260.0,905.8|367.8,2
timeprest,2,0.1,23.853,0.545|0.6,10.56|8.6,3120.0|3120.0,780.0|260.0,852.4|454.9,2
pipedream,2,0.1,27.509,0.465|0.468,14.46|14.24,3120.0|3120.0,260.0|260.0,905.8|367.8,2
timeprest,1,0.1,37.748,0.37|0.391,23.47|22.04,3120.0|3120.0,780.0|260.0,852.1|456.7,2
pipedream,1,0.1,41.547,0.34|0.33,27.19|27.4,3120.0|3120.0,260.0|260.0,905.8|367.8,2
timeprest,0.5,0.1,67.491,0.246|0.308,50.64|45.64,3120.0|3120.0,780.0|260.0,852.1|454.7,2
pipedream,0.5,0.1,69.288,0.219|0.229,53.87|52.88,3120.0|3120.0,260.0|260.0,905.8|367.8,2
