epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.34591,4.641,3.89555,9.61,30.32,-0.45036,1.5384615384615384e-05,15.928,0.940|0.841,0.65|1.59,865.8|402.5,3120.0|3120.0,520|260,0|0,0|2,209,49920,15.93
2,3.67597,12.802,3.43293,16.93,43.6,-0.24304,0.004015384615384615,16.265,0.940|0.837,0.69|1.71,862.7|401.6,3120.0|3120.0,520|260,0|0,0|2,178,49920,32.19
3,3.35721,18.103,3.60322,17.05,45.11,0.24601,0.008015384615384615,16.27,0.939|0.817,0.72|2.09,862.7|401.6,3120.0|3120.0,520|260,0|0,0|2,185,49920,48.46
4,3.0509,23.588,3.21362,22.29,51.04,0.16272,0.012015384615384615,16.313,0.931|0.815,0.83|2.16,862.7|402.2,3120.0|3120.0,520|260,0|0,0|2,186,49920,64.78
5,2.75402,29.054,2.78878,29.77,61.74,0.03476,0.016015384615384615,16.418,0.932|0.806,0.83|2.31,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,183,49920,81.19
6,2.44922,35.385,2.35074,37.33,71.45,-0.09848,0.02,16.22,0.938|0.832,0.72|1.85,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,198,49920,97.41
7,2.17619,41.296,2.24151,40.36,72.82,0.06532,0.019997946042345126,16.329,0.938|0.823,0.72|1.98,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,195,49920,113.74
8,1.97014,45.909,2.32761,39.58,71.42,0.35747,0.019991785013128923,16.197,0.933|0.828,0.81|1.88,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,200,49920,129.94
9,1.81052,49.834,1.98778,46.71,78.2,0.17726,0.01998151944325001,16.18,0.941|0.825,0.66|1.94,862.7|401.6,3120.0|3120.0,520|260,0|0,0|2,191,49920,146.12
10,1.67196,52.977,1.85195,50.32,80.32,0.17999,0.01996715354971755,16.419,0.934|0.810,0.80|2.18,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,187,49920,162.54
11,1.55908,55.679,2.07385,45.97,76.34,0.51477,0.01994869323391895,16.375,0.936|0.814,0.78|2.14,863.4|401.8,3120.0|3120.0,520|260,0|0,0|2,179,49920,178.91
12,1.45754,58.147,1.69202,53.4,83.28,0.23448,0.019926146079195597,16.392,0.941|0.819,0.67|2.07,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,189,49920,195.31
13,1.37637,60.266,1.78902,52.07,81.81,0.41265,0.01989952134772769,16.565,0.933|0.807,0.82|2.31,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,185,49920,211.87
14,1.29379,62.376,1.60494,55.29,84.13,0.31115,0.019868829976729445,16.324,0.941|0.815,0.66|2.09,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,166,49920,228.2
15,1.22594,64.115,1.62148,55.73,84.11,0.39554,0.019834084573956128,16.369,0.938|0.820,0.71|2.02,863.4|401.6,3120.0|3120.0,520|260,0|0,0|2,195,49920,244.56
16,1.15238,66.064,1.50061,58.76,85.88,0.34822,0.019795299412524944,16.335,0.939|0.820,0.70|2.04,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,187,49920,260.9
17,1.08849,67.636,1.59001,57.01,84.84,0.50152,0.01975249042505174,16.331,0.933|0.813,0.80|2.17,863.4|401.8,3120.0|3120.0,520|260,0|0,0|2,191,49920,277.23
18,1.02964,69.227,1.62431,57.31,83.95,0.59468,0.019705675197106018,16.494,0.933|0.812,0.82|2.21,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,180,49920,293.72
19,0.97617,70.533,1.53449,58.69,85.86,0.55832,0.019654872959986937,16.476,0.933|0.809,0.81|2.23,862.7|402.1,3120.0|3120.0,520|260,0|0,0|2,190,49920,310.2
20,0.92597,71.847,1.56468,58.17,86.27,0.6387,0.01960010458282326,16.568,0.923|0.807,0.94|2.25,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,187,49920,326.77
21,0.87795,73.217,1.56193,59.19,85.55,0.68398,0.01954139256400049,16.438,0.939|0.809,0.72|2.24,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,151,49920,343.21
22,0.83694,74.419,1.56875,58.86,85.34,0.7318,0.019478761021918728,16.487,0.930|0.814,0.86|2.16,862.7|402.1,3120.0|3120.0,520|260,0|0,0|2,188,49920,359.69
23,0.78322,75.952,1.56163,59.52,85.63,0.77841,0.019412235685085034,16.366,0.938|0.814,0.73|2.15,863.4|401.7,3120.0|3120.0,520|260,0|0,0|2,185,49920,376.06
24,0.74643,77.025,1.55433,59.55,85.86,0.8079,0.019341843881544373,16.462,0.933|0.815,0.84|2.16,862.7|402.1,3120.0|3120.0,520|260,0|0,0|2,196,49920,392.52
25,0.69089,78.498,1.55744,59.21,86.05,0.86655,0.01926761452765349,16.418,0.935|0.815,0.77|2.12,862.7|411.7,3120.0|3120.0,520|260,0|0,0|2,182,49920,408.94
26,0.65715,79.507,1.58682,58.57,86.37,0.92966,0.019189578116202307,16.617,0.926|0.796,0.92|2.47,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,183,49920,425.56
27,0.63482,80.018,1.49297,61.02,86.99,0.85816,0.019107766703887762,16.47,0.932|0.812,0.80|2.15,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,189,49920,442.03
28,0.5864,81.454,1.60524,59.84,86.01,1.01883,0.019022213898145176,16.272,0.942|0.821,0.64|2.00,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,192,49920,458.3
29,0.55553,82.436,1.53096,61.59,86.83,0.97544,0.018932954843342592,16.529,0.934|0.813,0.79|2.20,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,193,49920,474.83
30,0.53601,82.893,1.56734,60.83,86.07,1.03133,0.01884002620634378,16.313,0.935|0.820,0.77|2.00,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,188,49920,491.14
31,0.47498,84.842,1.57829,60.65,86.78,1.10332,0.018743466161445822,17.422,0.930|0.779,0.89|2.88,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,158,49920,508.56
32,0.45468,85.585,1.5924,60.57,86.59,1.13772,0.01864331437469738,17.913,0.926|0.764,0.99|3.19,862.7|402.1,3120.0|3120.0,520|260,0|0,0|2,149,49920,526.48
33,0.42857,86.214,1.62707,61.21,86.66,1.1985,0.018539611987604256,17.504,0.930|0.787,0.89|2.76,863.4|402.0,3120.0|3120.0,520|260,0|0,0|2,162,49920,543.98
34,0.42198,86.528,1.57096,61.86,87.17,1.14899,0.018432401600228823,16.992,0.936|0.798,0.76|2.47,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,151,49920,560.97
35,0.39284,87.482,1.5747,62.27,87.07,1.18186,0.01832172725369024,17.015,0.936|0.787,0.74|2.67,863.4|402.1,3120.0|3120.0,520|260,0|0,0|2,148,49920,577.99
36,0.36557,88.221,1.57019,62.84,87.34,1.20461,0.018207634412072765,17.468,0.932|0.782,0.86|2.87,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,158,49920,595.45
37,0.3415,89.111,1.53329,62.96,87.71,1.19179,0.018090169943749474,17.001,0.929|0.790,0.90|2.60,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,167,49920,612.45
38,0.31925,89.778,1.60199,62.67,87.56,1.28274,0.01796938210212915,17.057,0.931|0.793,0.88|2.59,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,158,49920,629.51
