epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.46959,3.225,4.18943,6.25,21.9,-0.28016,3.076923076923077e-05,15.755,0.915|0.767,1.13|3.07,1705.1|528.2,3120.0|3120.0,260|130,0|0,0|2,95,49920,15.76
2,3.86962,10.204,3.71121,12.1,34.95,-0.1584,0.004030769230769231,15.894,0.939|0.704,0.80|4.16,1705.1|526.0,3120.0|3120.0,260|130,0|0,0|2,85,49920,31.65
3,3.56433,14.874,3.45216,16.72,43.71,-0.11217,0.00803076923076923,16.409,0.915|0.745,1.23|3.59,1704.8|548.3,3120.0|3120.0,260|130,0|0,0|2,91,49920,48.06
4,3.38393,18.191,3.51679,16.93,44.21,0.13286,0.012030769230769232,16.064,0.919|0.765,1.12|3.15,1705.1|526.9,3120.0|3120.0,260|130,0|0,0|2,97,49920,64.12
5,3.15722,21.655,3.27731,21.68,50.99,0.12009,0.01603076923076923,16.269,0.915|0.763,1.19|3.24,1704.1|525.2,3120.0|3120.0,260|130,0|0,0|2,94,49920,80.39
6,2.81888,28.177,2.7507,29.44,62.02,-0.06818,0.02,16.176,0.921|0.710,1.11|4.12,1704.1|525.3,3120.0|3120.0,260|130,0|0,0|2,83,49920,96.57
7,2.5394,33.403,2.58728,33.15,65.41,0.04788,0.019997946042345126,16.277,0.918|0.751,1.15|3.46,1704.9|547.8,3120.0|3120.0,260|130,0|0,0|2,90,49920,112.84
8,2.28598,38.764,2.68263,33.35,63.53,0.39665,0.019991785013128923,16.444,0.910|0.752,1.31|3.43,1705.1|526.0,3120.0|3120.0,260|130,0|0,0|2,91,49920,129.29
9,2.13027,42.534,2.27643,39.51,71.75,0.14616,0.01998151944325001,16.223,0.908|0.754,1.32|3.40,1704.8|525.3,3120.0|3120.0,260|130,0|0,0|2,91,49920,145.51
10,1.94615,46.45,2.19365,41.43,74.4,0.2475,0.01996715354971755,16.606,0.901|0.751,1.40|3.51,1705.1|547.8,3120.0|3120.0,260|130,0|0,0|2,90,49920,162.12
11,1.81975,49.339,2.0243,46.48,76.54,0.20455,0.01994869323391895,16.117,0.932|0.728,0.93|3.80,1705.1|548.5,3120.0|3120.0,260|130,0|0,0|2,90,49920,178.23
12,1.67592,52.865,1.95045,47.51,78.8,0.27453,0.019926146079195597,16.209,0.916|0.721,1.19|3.93,1705.1|525.3,3120.0|3120.0,260|130,0|0,0|2,85,49920,194.44
13,1.58364,55.096,1.98759,47.63,78.37,0.40396,0.01989952134772769,16.507,0.922|0.781,1.12|2.95,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,99,49920,210.95
14,1.48693,57.382,1.92842,48.03,79.23,0.44149,0.019868829976729445,16.371,0.907|0.743,1.32|3.59,1704.7|525.1,3120.0|3120.0,260|130,0|0,0|2,91,49920,227.32
15,1.40137,59.555,1.89779,49.41,79.7,0.49642,0.019834084573956128,16.41,0.922|0.771,1.08|3.17,1704.9|546.8,3120.0|3120.0,260|130,0|0,0|2,96,49920,243.73
