epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.35555,4.421,3.88498,9.65,30.37,-0.47057,1.5384615384615384e-05,17.272,0.925|0.906,0.91|0.34,863.4|441.7,3120.0|3120.0,780|260,0|0,2|2,100,49920,17.27
2,3.72505,11.863,3.54982,15.47,40.68,-0.17524,0.004015384615384615,17.283,0.934|0.901,0.76|0.48,864.1|440.5,3120.0|3120.0,780|260,0|0,2|2,40,49920,34.55
3,3.40108,17.652,3.68318,16.35,42.81,0.2821,0.008015384615384615,17.592,0.931|0.893,0.83|0.61,864.1|439.6,3120.0|3120.0,780|260,0|0,2|2,75,49920,52.15
4,3.09854,22.897,3.15283,23.19,53.97,0.05429,0.012015384615384615,17.717,0.936|0.881,0.76|0.86,863.9|441.9,3120.0|3120.0,780|260,0|0,2|2,64,49920,69.86
5,2.82423,28.025,2.6515,31.69,64.4,-0.17273,0.016015384615384615,17.685,0.935|0.882,0.75|0.83,864.6|442.0,3120.0|3120.0,780|260,0|0,2|2,86,49920,87.55
6,2.50611,34.295,2.43959,36.36,69.16,-0.06652,0.02,17.631,0.929|0.891,0.86|0.64,864.1|440.9,3120.0|3120.0,780|260,0|0,2|2,64,49920,105.18
7,2.21945,40.212,2.23731,40.97,72.61,0.01786,0.019997946042345126,18.784,0.848|0.913,2.53|0.44,864.1|443.5,3120.0|3120.0,780|260,0|0,2|2,35,49920,123.96
8,2.01069,44.766,2.66535,34.37,65.2,0.65466,0.019991785013128923,17.626,0.926|0.891,0.91|0.63,864.4|440.2,3120.0|3120.0,780|260,0|0,2|2,65,49920,141.59
9,1.86593,48.295,2.04666,45.48,76.64,0.18072,0.01998151944325001,17.98,0.884|0.917,1.71|0.26,863.9|440.9,3120.0|3120.0,780|260,0|0,2|2,52,49920,159.57
10,1.7269,51.739,1.78827,50.79,81.13,0.06137,0.01996715354971755,18.202,0.865|0.914,2.08|0.24,863.4|440.8,3120.0|3120.0,780|260,0|0,2|2,56,49920,177.77
11,1.60317,54.581,1.8488,50.64,79.99,0.24563,0.01994869323391895,18.051,0.875|0.918,1.89|0.23,862.6|444.5,3120.0|3120.0,780|260,0|0,2|2,31,49920,195.82
12,1.50023,57.282,1.7042,52.86,82.76,0.20397,0.019926146079195597,17.637,0.925|0.898,0.93|0.57,863.9|441.9,3120.0|3120.0,780|260,0|0,2|2,53,49920,213.46
13,1.42815,58.966,1.67154,54.57,83.07,0.24339,0.01989952134772769,17.832,0.928|0.884,0.90|0.78,863.9|441.2,3120.0|3120.0,780|260,0|0,2|2,58,49920,231.29
14,1.33404,61.354,1.66295,54.46,83.33,0.32891,0.019868829976729445,17.894,0.933|0.879,0.79|0.90,864.1|440.2,3120.0|3120.0,780|260,0|0,2|2,73,49920,249.19
15,1.26591,63.165,1.62893,55.72,84.19,0.36302,0.019834084573956128,17.787,0.936|0.879,0.72|0.89,864.1|441.5,3120.0|3120.0,780|260,0|0,2|2,81,49920,266.97
16,1.1977,64.794,1.53516,57.91,85.68,0.33746,0.019795299412524944,17.836,0.932|0.874,0.84|0.98,863.9|440.7,3120.0|3120.0,780|260,0|0,2|2,87,49920,284.81
17,1.12424,66.743,1.58373,57.12,84.28,0.45949,0.01975249042505174,17.857,0.931|0.875,0.86|0.92,864.1|440.2,3120.0|3120.0,780|260,0|0,2|2,73,49920,302.67
18,1.0758,67.911,1.52734,58.82,85.25,0.45153,0.019705675197106018,17.674,0.928|0.891,0.91|0.66,863.9|440.4,3120.0|3120.0,780|260,0|0,2|2,66,49920,320.34
19,1.02118,69.241,1.6122,57.39,84.75,0.59102,0.019654872959986937,18.274,0.868|0.915,2.02|0.33,865.1|441.1,3120.0|3120.0,780|260,0|0,2|2,64,49920,338.61
20,0.96218,70.891,1.54244,58.0,85.73,0.58026,0.01960010458282326,17.608,0.928|0.891,0.88|0.67,864.1|441.1,3120.0|3120.0,780|260,0|0,2|2,75,49920,356.22
21,0.92464,71.953,1.51055,59.35,86.51,0.58591,0.01954139256400049,18.041,0.895|0.907,1.50|0.44,865.1|442.7,3120.0|3120.0,780|260,0|0,2|2,19,49920,374.26
22,0.86854,73.616,1.46027,60.76,86.93,0.59174,0.019478761021918728,17.801,0.924|0.883,0.94|0.81,863.6|440.1,3120.0|3120.0,780|260,0|0,2|2,80,49920,392.06
23,0.82909,74.77,1.47834,60.66,86.42,0.64925,0.019412235685085034,17.684,0.933|0.883,0.77|0.82,863.9|440.0,3120.0|3120.0,780|260,0|0,2|2,77,49920,409.75
24,0.76776,76.442,1.51349,60.6,87.06,0.74573,0.019341843881544373,17.887,0.929|0.879,0.88|0.91,863.6|441.5,3120.0|3120.0,780|260,0|0,2|2,82,49920,427.63
25,0.73847,77.085,1.48385,60.74,86.78,0.74538,0.01926761452765349,17.765,0.925|0.887,0.95|0.71,863.9|440.3,3120.0|3120.0,780|260,0|0,2|2,53,49920,445.4
26,0.71292,77.81,1.55152,60.22,86.15,0.8386,0.019189578116202307,18.001,0.896|0.902,1.49|0.49,864.1|440.1,3120.0|3120.0,780|260,0|0,2|2,53,49920,463.4
27,0.66569,79.211,1.50828,60.73,86.66,0.84259,0.019107766703887762,17.673,0.933|0.883,0.81|0.82,864.1|441.9,3120.0|3120.0,780|260,0|0,2|2,63,49920,481.07
28,0.61485,80.697,1.56743,60.99,86.15,0.95258,0.019022213898145176,17.84,0.928|0.878,0.87|0.85,863.6|440.1,3120.0|3120.0,780|260,0|0,2|2,23,49920,498.91
29,0.60017,81.092,1.49586,62.34,87.27,0.89569,0.018932954843342592,17.511,0.933|0.882,0.78|0.81,864.1|440.9,3120.0|3120.0,780|260,0|0,2|2,87,49920,516.42
30,0.56673,82.153,1.47842,62.36,87.34,0.91169,0.01884002620634378,18.538,0.856|0.917,2.32|0.36,863.9|440.9,3120.0|3120.0,780|260,0|0,2|2,41,49920,534.96
31,0.52642,83.227,1.5308,61.49,87.06,1.00438,0.018743466161445822,17.844,0.931|0.877,0.87|0.91,864.4|442.1,3120.0|3120.0,780|260,0|0,2|2,73,49920,552.81
32,0.49778,84.123,1.52171,62.56,87.46,1.02393,0.01864331437469738,18.288,0.913|0.874,1.23|1.06,863.6|440.0,3120.0|3120.0,780|260,0|0,2|2,56,49920,571.09
33,0.48548,84.579,1.57722,61.11,86.2,1.09174,0.018539611987604256,17.992,0.905|0.900,1.33|0.51,864.9|439.4,3120.0|3120.0,780|260,0|0,2|2,59,49920,589.09
34,0.43498,86.258,1.57217,62.14,86.65,1.13718,0.018432401600228823,17.998,0.930|0.878,0.87|0.87,863.6|440.2,3120.0|3120.0,780|260,0|0,2|2,64,49920,607.08
35,0.4084,87.157,1.53849,63.04,87.43,1.13009,0.01832172725369024,17.884,0.932|0.881,0.82|0.84,863.9|441.1,3120.0|3120.0,780|260,0|0,2|2,72,49920,624.97
36,0.40751,87.236,1.64056,60.79,85.91,1.23305,0.018207634412072765,17.861,0.938|0.878,0.71|0.89,863.9|440.4,3120.0|3120.0,780|260,0|0,2|2,64,49920,642.83
37,0.37936,87.889,1.59037,62.36,86.62,1.21101,0.018090169943749474,18.143,0.907|0.893,1.29|0.68,863.9|440.1,3120.0|3120.0,780|260,0|0,2|2,47,49920,660.97
38,0.35302,88.836,1.5054,64.36,87.98,1.15238,0.01796938210212915,18.164,0.900|0.897,1.43|0.61,865.4|441.0,3120.0|3120.0,780|260,0|0,2|2,54,49920,679.14
39,0.33298,89.489,1.54714,62.48,87.42,1.21415,0.017845320505834174,17.892,0.932|0.875,0.83|0.94,864.1|440.4,3120.0|3120.0,780|260,0|0,2|2,75,49920,697.03
40,0.31198,90.04,1.52544,63.57,87.92,1.21346,0.01771803611831762,18.043,0.935|0.875,0.77|0.99,864.1|441.2,3120.0|3120.0,780|260,0|0,2|2,70,49920,715.07
