epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.34061,4.724,3.91086,8.9,29.16,-0.42975,1.5384615384615384e-05,17.018,0.915|0.852,1.16|1.98,894.7|420.7,3120.0|3120.0,260|260,0|0,0|2,238,49920,17.02
2,3.70002,12.276,3.92288,12.36,33.56,0.22286,0.004015384615384615,16.149,0.965|0.738,0.29|3.75,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,249,49920,33.17
3,3.38931,17.869,3.46617,18.08,45.34,0.07687,0.008015384615384615,16.247,0.976|0.709,0.14|4.24,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,257,49920,49.41
4,3.07281,23.458,3.26056,21.36,50.37,0.18776,0.012015384615384615,16.345,0.970|0.718,0.25|4.11,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,253,49920,65.76
5,2.78963,28.622,2.72698,30.04,63.5,-0.06264,0.016015384615384615,16.178,0.967|0.731,0.25|3.87,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,81.94
6,2.42706,35.805,2.4419,35.59,69.76,0.01484,0.02,16.23,0.977|0.707,0.13|4.28,894.8|420.0,3120.0|3120.0,260|260,0|0,0|2,258,49920,98.17
7,2.15412,41.659,2.45693,37.75,68.56,0.3028,0.019997946042345126,16.446,0.959|0.725,0.40|4.02,894.8|428.6,3120.0|3120.0,260|260,0|0,0|2,247,49920,114.61
8,1.95813,45.807,2.27752,40.87,72.57,0.31939,0.019991785013128923,16.253,0.980|0.693,0.05|4.52,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,130.87
9,1.79277,50.216,2.07213,45.49,76.41,0.27936,0.01998151944325001,16.43,0.980|0.698,0.06|4.47,894.8|420.4,3120.0|3120.0,260|260,0|0,0|2,258,49920,147.3
10,1.65468,53.241,1.92509,48.4,79.1,0.27041,0.01996715354971755,16.391,0.973|0.701,0.17|4.44,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,256,49920,163.69
11,1.54095,55.801,1.77151,52.06,81.04,0.23056,0.01994869323391895,16.375,0.967|0.721,0.28|4.11,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,246,49920,180.06
12,1.44118,58.403,1.89087,49.2,79.8,0.44969,0.019926146079195597,16.221,0.967|0.725,0.26|3.97,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,196.28
13,1.35216,60.773,1.73116,53.17,82.31,0.379,0.01989952134772769,16.5,0.971|0.721,0.22|4.11,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,255,49920,212.78
