epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
1,4.16386,6.643,3.74419,11.62,34.71,-0.41968,3.846153846153846e-05,32.869,0.728,27.497,27.96,3413.9,8.1|111.9,1|2,1,49920,32.87,27.5,0
2,3.51341,15.805,3.32658,19.92,48.45,-0.18684,0.010038461538461538,31.884,0.37,26.658,27.12,553.6,8.1|111.9,1|2,1,49920,64.75,54.16,0
3,3.13467,22.218,3.00041,25.44,56.79,-0.13426,0.02003846153846154,32.136,0.539,26.633,27.095,553.6,8.1|111.9,1|2,1,49920,96.89,80.79,0
4,2.76031,29.163,2.68592,31.41,63.92,-0.07439,0.030038461538461538,31.512,0.755,26.146,26.608,553.6,8.1|111.9,1|2,1,49920,128.4,106.93,0
5,2.45313,35.28,2.54248,34.11,67.03,0.08935,0.040038461538461544,31.894,0.504,26.575,27.038,553.6,8.1|111.9,1|2,1,49920,160.3,133.51,0
6,2.21283,40.555,2.1668,42.37,74.35,-0.04603,0.05,31.184,0.596,26.023,26.486,553.6,8.1|111.9,1|2,1,49920,191.48,159.53,0
7,1.97511,45.737,2.00861,45.43,77.77,0.03351,0.04999486510586282,31.649,0.378,26.42,26.883,553.6,8.1|111.9,1|2,1,49920,223.13,185.95,0
8,1.81352,49.685,1.89644,48.14,79.58,0.08292,0.04997946253282231,31.726,0.454,26.433,26.895,553.6,8.1|111.9,1|2,1,49920,254.85,212.38,0
9,1.70218,52.352,1.7679,51.75,81.04,0.06572,0.04995379860812502,33.113,0.914,27.096,27.558,553.6,8.1|111.9,1|2,1,49920,287.97,239.48,0
10,1.59727,55.082,1.74666,51.82,81.88,0.14939,0.049917883874293884,31.668,0.552,26.341,26.803,553.6,8.1|111.9,1|2,1,49920,319.63,265.82,0
11,1.5062,57.159,1.67341,53.65,83.25,0.16721,0.04987173308479738,32.575,0.806,26.921,27.383,553.6,8.1|111.9,1|2,1,49920,352.21,292.74,0
12,1.4317,58.996,1.67821,54.22,83.49,0.24651,0.04981536519798899,32.423,0.549,26.911,27.373,553.6,8.1|111.9,1|2,1,49920,384.63,319.65,0
13,1.35427,60.933,1.66828,55.04,83.48,0.31401,0.04974880336931923,31.24,0.499,26.047,26.509,553.6,8.1|111.9,1|2,1,49920,415.87,345.7,0
