epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
1,4.14935,6.903,3.86927,10.61,33.47,-0.28008,3.846153846153846e-05,34.083,1.135,19.641,19.864,3415.4,13.2|76.0,2|1,1,49920,34.08,19.64,0
2,3.50608,15.589,3.46195,17.61,45.38,-0.04414,0.010038461538461538,28.593,1.709,14.362,14.602,671.9,13.2|76.0,2|1,1,49920,62.68,34.0,0
3,3.11838,22.368,4.03529,14.88,41.43,0.91691,0.02003846153846154,29.637,3.514,14.548,14.766,671.9,13.2|76.0,2|1,1,49920,92.31,48.55,0
4,2.77498,29.056,3.06386,26.33,56.73,0.28889,0.030038461538461538,29.199,1.459,14.771,14.961,641.2,13.2|76.0,2|1,1,49920,121.51,63.32,0
5,2.45184,35.142,2.78568,30.62,61.7,0.33384,0.040038461538461544,28.572,0.717,14.399,14.641,634.9,13.2|76.0,2|1,1,49920,150.08,77.72,0
6,2.20218,40.555,2.31349,39.76,71.39,0.11131,0.05,29.051,3.472,14.59,14.809,672.7,13.2|76.0,2|1,1,49920,179.13,92.31,0
7,1.96336,46.146,2.09793,43.91,75.82,0.13458,0.04999486510586282,29.823,3.172,14.542,14.773,641.2,13.2|76.0,2|1,1,49920,208.96,106.85,0
8,1.79564,49.856,2.04397,45.54,76.61,0.24833,0.04997946253282231,29.905,3.58,14.632,14.819,671.9,13.2|76.0,2|1,1,49920,238.86,121.49,0
9,1.66346,53.189,1.86144,49.47,79.53,0.19798,0.04995379860812502,28.788,3.353,14.452,14.687,671.9,13.2|76.0,2|1,1,49920,267.65,135.94,0
10,1.56935,55.403,1.84275,49.56,80.78,0.2734,0.049917883874293884,28.754,0.663,14.511,14.727,634.9,13.2|76.0,2|1,1,49920,296.41,150.45,0
11,1.47504,57.752,1.76437,52.0,81.84,0.28933,0.04987173308479738,29.29,3.406,14.705,14.906,671.9,13.2|76.0,2|1,1,49920,325.7,165.15,0
12,1.39969,59.627,1.77834,52.11,81.27,0.37865,0.04981536519798899,29.762,3.55,14.469,14.694,671.9,13.2|76.0,2|1,1,49920,355.46,179.62,0
13,1.34677,60.99,1.72543,53.74,82.52,0.37866,0.04974880336931923,29.9,3.807,14.649,14.838,671.9,13.2|76.0,2|1,1,49920,385.36,194.27,0
14,1.28111,62.544,1.68891,54.6,82.32,0.4078,0.04967207494182361,29.486,2.872,14.696,14.869,671.9,13.2|76.0,2|1,1,49920,414.84,208.97,0
15,1.23996,63.78,1.60375,56.43,83.94,0.36378,0.04958521143489032,29.043,2.592,14.694,14.866,671.9,13.2|76.0,2|1,1,49920,443.89,223.66,0
16,1.17776,65.413,1.84189,51.63,80.27,0.66413,0.04948824853131237,29.351,3.491,14.693,14.874,671.9,13.2|76.0,2|1,1,49920,473.24,238.35,0
17,1.14463,66.394,1.69899,54.84,82.8,0.55436,0.04938122606262935,29.752,3.49,14.515,14.735,671.9,13.2|76.0,2|1,1,49920,502.99,252.87,0
18,1.10753,67.192,1.81773,53.12,81.31,0.71019,0.049264187992765045,29.76,3.72,14.534,14.756,671.9,13.2|76.0,2|1,1,49920,532.75,267.4,0
19,1.06632,68.319,1.96985,50.16,79.35,0.90353,0.04913718239996734,29.275,3.217,14.668,14.848,671.9,13.2|76.0,2|1,1,49920,562.02,282.07,0
20,1.03792,69.067,1.66594,56.0,83.48,0.62801,0.04900026145705815,29.029,0.432,14.685,14.865,634.9,13.2|76.0,2|1,1,49920,591.05,296.76,0
21,1.01287,69.752,1.54882,58.58,85.18,0.53595,0.048853481410001225,29.123,2.29,14.624,14.827,671.7,13.2|76.0,2|1,1,49920,620.18,311.38,0
22,0.97346,70.655,1.97886,50.78,79.01,1.0054,0.04869690255479682,29.723,3.143,14.585,14.781,641.2,13.2|76.0,2|1,1,49920,649.9,325.97,0
23,0.95302,71.466,1.68366,56.26,83.99,0.73065,0.04853058921271258,29.261,2.48,14.54,14.761,672.7,13.2|76.0,2|1,1,49920,679.16,340.51,0
24,0.93254,72.135,1.63772,57.69,84.49,0.70518,0.048354609703860935,28.838,2.32,14.46,14.702,641.2,13.2|76.0,2|1,1,49920,708.0,354.97,0
25,0.91132,72.46,1.80899,53.77,81.65,0.89767,0.04816903631913372,28.854,0.6,14.568,14.785,634.9,13.2|76.0,2|1,1,49920,736.85,369.53,0
