epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.15995,6.749,3.77853,12.53,35.14,-0.38142,3.846153846153846e-05,14.21,0.975|0.785,0.12|2.65,905.0|355.0,3120.0|3120.0,260|260,0|0,1|0,258,49920,14.21
2,3.50707,15.976,3.91837,12.92,36.54,0.41131,0.010038461538461538,14.503,0.978|0.779,0.09|2.75,904.8|364.0,3120.0|3120.0,260|260,0|0,1|0,259,49920,28.71
3,3.13484,21.901,3.08807,23.56,55.49,-0.04677,0.02003846153846154,14.775,0.946|0.852,0.56|1.73,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,254,49920,43.49
4,2.74211,29.718,2.93696,27.14,58.42,0.19485,0.030038461538461538,14.615,0.977|0.752,0.09|3.22,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,256,49920,58.1
5,2.45523,35.397,2.73333,32.01,64.78,0.2781,0.040038461538461544,14.92,0.942|0.845,0.61|1.86,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,252,49920,73.02
6,2.18487,41.03,2.50279,36.67,68.26,0.31793,0.05,14.925,0.925|0.870,0.88|1.49,904.8|364.0,3120.0|3120.0,260|260,0|0,1|0,247,49920,87.95
7,1.94863,46.462,2.18894,41.29,73.75,0.24031,0.04999486510586282,15.011,0.981|0.735,0.05|3.56,904.8|352.9,3120.0|3120.0,260|260,0|0,1|0,259,49920,102.96
8,1.81125,49.816,2.52347,36.63,68.5,0.71222,0.04997946253282231,14.548,0.980|0.752,0.06|3.18,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,259,49920,117.51
9,1.67945,52.648,1.9483,46.85,78.35,0.26885,0.04995379860812502,14.679,0.979|0.755,0.07|3.13,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,256,49920,132.19
10,1.5695,55.591,1.94342,48.46,78.3,0.37392,0.049917883874293884,14.682,0.975|0.772,0.11|2.90,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,258,49920,146.87
11,1.48174,57.604,1.82871,50.84,80.31,0.34697,0.04987173308479738,15.358,0.915|0.865,0.92|1.50,904.8|353.0,3120.0|3120.0,260|260,0|0,1|0,242,49920,162.23
