epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.18041,6.338,3.75129,12.41,36.21,-0.42912,3.846153846153846e-05,19.754,0.857|0.962,2.58|0.01,527.9|441.1,3120.0|3120.0,780|260,777|777,0|2,259,49920,19.75
2,3.56008,15.012,3.53253,16.98,42.38,-0.02755,0.010038461538461538,18.635,0.933|0.935,1.01|0.27,536.9|440.8,3120.0|3120.0,780|260,773|773,0|2,255,49920,38.39
3,3.20189,20.833,3.05881,24.18,54.15,-0.14307,0.02003846153846154,18.747,0.924|0.945,1.19|0.17,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,57.14
4,2.81376,28.197,2.82359,28.27,59.79,0.00983,0.030038461538461538,18.852,0.911|0.948,1.43|0.12,536.9|440.8,3120.0|3120.0,780|260,777|777,0|2,259,49920,75.99
5,2.54606,33.474,2.66003,32.41,65.18,0.11397,0.040038461538461544,19.162,0.905|0.948,1.57|0.15,532.9|442.5,3120.0|3120.0,780|260,776|776,0|2,258,49920,95.15
6,2.24653,39.838,2.89896,32.29,62.42,0.65243,0.05,19.282,0.907|0.944,1.55|0.25,536.9|441.5,3120.0|3120.0,780|260,774|774,0|2,256,49920,114.43
7,2.03215,44.774,2.13272,43.26,74.56,0.10058,0.04999486510586282,19.072,0.910|0.944,1.47|0.21,536.9|441.4,3120.0|3120.0,780|260,775|775,0|2,257,49920,133.5
8,1.86264,48.674,2.0619,44.69,76.16,0.19926,0.04997946253282231,19.057,0.907|0.946,1.53|0.16,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,152.56
9,1.74859,51.176,1.8288,50.16,80.02,0.08021,0.04995379860812502,19.191,0.909|0.948,1.50|0.17,536.9|441.0,3120.0|3120.0,780|260,776|776,0|2,258,49920,171.75
10,1.63408,54.169,1.93519,48.31,78.66,0.30111,0.049917883874293884,19.177,0.898|0.944,1.72|0.19,536.9|440.7,3120.0|3120.0,780|260,775|775,0|2,257,49920,190.93
