epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.12873,2.11,4.80345,4.86,15.98,-0.32528,7.692307692307692e-06,116.312,0.975|0.633,0.62|40.10,3530.4|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,116.31
2,4.278,9.833,4.00404,12.76,34.21,-0.27396,0.004007692307692308,119.479,0.943|0.613,3.80|43.66,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,490,99840,235.79
3,3.68426,17.856,3.62602,18.24,43.13,-0.05824,0.008007692307692308,117.246,0.965|0.627,1.54|40.99,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,512,99840,353.04
4,3.26671,24.944,3.33522,24.92,49.91,0.06851,0.012007692307692308,119.064,0.950|0.621,3.03|42.19,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,501,99840,472.1
5,2.95881,30.48,3.07279,28.56,55.88,0.11398,0.016007692307692306,117.091,0.968|0.632,1.29|40.47,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,516,99840,589.19
6,2.6725,36.011,2.98257,31.16,58.53,0.31008,0.02,117.638,0.962|0.630,1.89|40.70,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,511,99840,706.83
7,2.41609,40.926,2.67114,37.5,64.9,0.25505,0.019991228300988585,117.03,0.969|0.633,1.20|40.06,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,518,99840,823.86
8,2.22469,45.031,2.55684,38.95,66.97,0.33214,0.019964928592495042,117.054,0.969|0.631,1.14|40.17,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,518,99840,940.91
9,2.06668,48.323,2.6821,37.26,64.51,0.61542,0.01992114701314478,118.453,0.956|0.625,2.46|41.56,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,507,99840,1059.37
10,1.93629,51.142,2.5416,40.5,67.39,0.6053,0.01985996037070505,117.385,0.966|0.632,1.52|40.23,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,516,99840,1176.75
