epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.12261,2.14,4.69211,5.48,18.15,-0.4305,7.692307692307692e-06,116.8,0.970|0.633,1.10|40.19,3529.3|873.0,24960.0|24960.0,520|520,0|0,2|2,515,99840,116.8
2,4.31334,9.445,4.25407,10.8,29.49,-0.05927,0.004007692307692308,117.857,0.960|0.629,2.15|41.10,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,506,99840,234.66
3,3.7788,16.235,3.76558,16.52,40.84,-0.01323,0.008007692307692308,116.648,0.970|0.635,1.08|39.86,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,516,99840,351.3
4,3.38823,22.464,3.80654,18.53,41.72,0.4183,0.012007692307692308,116.629,0.971|0.636,0.87|39.62,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,467.93
5,3.08111,27.907,3.15516,26.52,54.56,0.07404,0.016007692307692306,116.282,0.974|0.635,0.74|39.81,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,584.22
6,2.77558,33.81,3.21607,26.8,54.73,0.44049,0.02,120.797,0.935|0.611,4.64|44.12,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,484,99840,705.01
7,2.50998,38.988,2.86102,34.67,61.91,0.35103,0.019991228300988585,118.842,0.952|0.623,2.89|42.12,3528.5|921.0,24960.0|24960.0,520|520,0|0,2|2,500,99840,823.86
8,2.31337,43.09,2.79252,34.91,63.25,0.47914,0.019964928592495042,116.798,0.971|0.634,0.95|39.79,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,518,99840,940.65
9,2.15908,46.325,2.77401,36.29,63.72,0.61493,0.01992114701314478,116.9,0.970|0.639,1.08|39.38,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,1057.55
10,2.01685,49.446,2.62763,38.31,65.96,0.61077,0.01985996037070505,116.83,0.971|0.636,0.95|39.64,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,1174.38
11,1.89688,51.907,2.54861,41.12,68.52,0.65174,0.019781476007338056,117.204,0.967|0.636,1.35|39.71,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,517,99840,1291.59
12,1.79453,54.068,2.57196,40.78,66.86,0.77743,0.01968583161128631,116.741,0.972|0.635,0.88|39.94,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,1408.33
13,1.6868,56.583,2.60106,40.19,67.22,0.91426,0.01957319497532067,116.827,0.970|0.637,1.03|39.55,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,1525.15
14,1.60408,58.213,2.57451,39.99,67.23,0.97043,0.01944376370237481,118.929,0.950|0.623,3.02|41.96,3528.5|920.7,24960.0|24960.0,520|520,0|0,2|2,500,99840,1644.08
15,1.50428,60.602,2.22478,46.63,73.86,0.72051,0.019297764858882512,117.041,0.969|0.636,1.05|39.52,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,1761.12
16,1.4153,62.486,2.29523,46.33,72.41,0.87994,0.019135454576426007,116.659,0.971|0.636,1.02|39.77,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,517,99840,1877.78
17,1.32748,64.773,2.26137,47.05,73.56,0.93389,0.01895711760239413,119.133,0.948|0.624,3.12|41.68,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,501,99840,1996.92
18,1.25023,66.346,2.39253,45.81,72.21,1.1423,0.018763066800438634,120.706,0.933|0.607,4.88|44.65,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,481,99840,2117.62
19,1.16481,68.355,2.43189,46.0,71.76,1.26708,0.018553642601605067,117.769,0.964|0.630,1.73|40.70,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,511,99840,2235.39
20,1.08703,70.291,2.43447,45.12,71.6,1.34744,0.018329212407100996,117.593,0.965|0.628,1.63|41.08,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,510,99840,2352.98
21,1.02906,71.552,2.4274,45.67,71.82,1.39834,0.018090169943749474,116.715,0.973|0.635,0.70|39.54,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,2469.7
22,0.95012,73.571,2.30898,48.4,73.49,1.35886,0.017836934573258398,116.62,0.974|0.635,0.70|39.72,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,2586.32
23,0.89275,74.982,2.47624,47.07,73.83,1.58349,0.017569950556517566,117.245,0.969|0.633,1.08|40.04,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,516,99840,2703.56
24,0.81861,76.89,2.73737,44.05,69.55,1.91877,0.017289686274214115,118.171,0.960|0.628,2.07|40.95,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,508,99840,2821.74
25,0.75966,78.285,2.48955,46.81,73.56,1.72989,0.016996633405133656,117.64,0.966|0.633,1.48|40.17,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,513,99840,2939.38
26,0.68391,80.444,2.49903,46.63,72.46,1.81512,0.016691306063588582,118.675,0.957|0.625,2.38|41.59,3528.5|920.7,24960.0|24960.0,520|520,0|0,2|2,505,99840,3058.05
27,0.64233,81.496,2.64078,46.13,71.94,1.99845,0.016374239897486896,116.674,0.973|0.636,0.83|39.62,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,3174.72
28,0.58142,83.237,2.49733,47.99,73.26,1.91592,0.01604599114862375,117.05,0.970|0.636,0.98|39.49,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,3291.77
29,0.53873,84.394,2.86559,43.49,69.33,2.32686,0.01570713567684432,117.51,0.965|0.632,1.60|40.58,3528.5|921.0,24960.0|24960.0,520|520,0|0,2|2,511,99840,3409.28
