epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.12658,2.166,4.67007,5.53,18.24,-0.45651,7.692307692307692e-06,111.953,0.882|0.661,12.11|34.06,3347.4|788.4,24960.0|24960.0,1560|520,0|0,0|2,289,99840,111.95
2,4.31062,9.184,3.9767,13.64,35.2,-0.33392,0.004007692307692308,113.137,0.866|0.656,14.26|35.08,3345.6|787.6,24960.0|24960.0,1560|520,0|0,0|2,276,99840,225.09
3,3.73629,17.127,3.60537,18.42,43.86,-0.13092,0.008007692307692308,113.056,0.875|0.657,13.01|34.72,3346.4|785.8,24960.0|24960.0,1560|520,0|0,0|2,282,99840,338.15
4,3.34168,23.426,3.40472,22.89,49.29,0.06305,0.012007692307692308,114.354,0.875|0.643,13.01|36.62,3346.4|825.2,24960.0|24960.0,1560|520,0|0,0|2,273,99840,452.5
5,3.06,28.636,2.9905,30.14,57.83,-0.06951,0.016007692307692306,117.933,0.863|0.603,14.07|43.22,3345.4|829.4,24960.0|24960.0,1560|520,0|0,0|2,263,99840,570.43
6,2.77323,33.89,2.89361,31.61,60.13,0.12038,0.02,116.771,0.834|0.603,15.90|42.70,3346.4|838.5,24960.0|24960.0,1560|520,0|0,0|2,287,99840,687.2
7,2.50417,39.327,2.67897,37.57,64.74,0.1748,0.019991228300988585,117.289,0.829|0.594,15.67|44.08,3345.4|835.0,24960.0|24960.0,1560|520,0|0,0|2,284,99840,804.49
8,2.31742,43.184,2.57559,38.37,66.56,0.25817,0.019964928592495042,119.188,0.819|0.601,16.91|43.71,3345.6|833.0,24960.0|24960.0,1560|520,0|0,0|2,288,99840,923.68
9,2.16431,46.34,2.41294,41.79,69.57,0.24863,0.01992114701314478,117.673,0.831|0.581,14.95|46.00,3344.4|834.7,24960.0|24960.0,1560|520,0|0,0|2,285,99840,1041.35
10,2.03886,49.149,2.38331,43.11,69.34,0.34446,0.01985996037070505,118.86,0.816|0.597,17.62|43.31,3346.4|834.1,24960.0|24960.0,1560|520,0|0,0|2,291,99840,1160.21
11,1.89848,52.026,2.28099,45.28,72.16,0.38251,0.019781476007338056,111.458,0.876|0.512,10.45|52.83,3345.4|831.4,24960.0|24960.0,1560|520,0|0,0|2,264,99840,1271.67
12,1.79746,54.117,2.24106,46.39,72.36,0.4436,0.01968583161128631,111.823,0.872|0.510,10.48|53.20,3344.4|834.4,24960.0|24960.0,1560|520,0|0,0|2,268,99840,1383.49
13,1.6987,56.245,2.26099,46.59,72.88,0.56229,0.01957319497532067,111.197,0.877|0.511,9.95|52.72,3344.4|830.5,24960.0|24960.0,1560|520,0|0,0|2,269,99840,1494.69
14,1.61539,58.293,2.16046,48.19,74.04,0.54507,0.01944376370237481,111.884,0.874|0.508,10.55|53.39,3345.4|831.0,24960.0|24960.0,1560|520,0|0,0|2,271,99840,1606.58
15,1.52039,60.18,2.11339,48.63,75.24,0.59299,0.019297764858882512,110.888,0.881|0.516,9.86|52.07,3345.4|831.4,24960.0|24960.0,1560|520,0|0,0|2,265,99840,1717.46
16,1.43083,62.4,2.13528,49.31,75.33,0.70445,0.019135454576426007,111.958,0.872|0.509,10.71|53.35,3345.4|832.7,24960.0|24960.0,1560|520,0|0,0|2,271,99840,1829.42
17,1.35472,64.04,2.19083,48.84,74.67,0.83611,0.01895711760239413,110.112,0.889|0.528,9.04|50.38,3345.4|831.1,24960.0|24960.0,1560|520,0|0,0|2,270,99840,1939.53
18,1.2751,65.868,2.23105,48.15,74.22,0.95595,0.018763066800438634,112.454,0.869|0.505,11.31|54.02,3345.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,267,99840,2051.99
19,1.18816,67.87,2.27916,48.27,73.79,1.091,0.018553642601605067,111.88,0.871|0.508,10.69|53.42,3344.4|832.8,24960.0|24960.0,1560|520,0|0,0|2,270,99840,2163.87
20,1.11796,69.485,2.25103,48.48,73.78,1.13306,0.018329212407100996,112.36,0.869|0.507,11.22|53.80,3345.4|832.0,24960.0|24960.0,1560|520,0|0,0|2,267,99840,2276.23
21,1.04961,71.259,2.19211,50.04,74.99,1.14251,0.018090169943749474,112.379,0.867|0.507,11.45|53.86,3344.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,265,99840,2388.61
22,0.98367,72.779,2.23797,50.49,75.3,1.2543,0.017836934573258398,111.443,0.877|0.510,9.86|52.97,3345.4|832.8,24960.0|24960.0,1560|520,0|0,0|2,273,99840,2500.05
23,0.92864,74.032,2.2447,50.57,75.74,1.31607,0.017569950556517566,111.858,0.870|0.508,10.85|53.40,3345.4|832.3,24960.0|24960.0,1560|520,0|0,0|2,270,99840,2611.91
24,0.86173,75.747,2.3667,49.08,74.75,1.50498,0.017289686274214115,112.044,0.868|0.507,11.00|53.67,3344.4|831.6,24960.0|24960.0,1560|520,0|0,0|2,266,99840,2723.95
25,0.79881,77.493,2.30074,50.08,75.27,1.50193,0.016996633405133656,111.831,0.870|0.508,10.79|53.42,3345.4|832.3,24960.0|24960.0,1560|520,0|0,0|2,265,99840,2835.78
26,0.74672,78.638,2.24721,51.51,76.1,1.50049,0.016691306063588582,112.291,0.869|0.505,10.82|54.03,3344.4|832.4,24960.0|24960.0,1560|520,0|0,0|2,269,99840,2948.07
27,0.68246,80.554,2.38234,50.11,74.96,1.69988,0.016374239897486896,111.93,0.870|0.507,11.09|53.64,3344.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,267,99840,3060.0
28,0.64299,81.55,2.28633,52.12,75.76,1.64334,0.01604599114862375,111.121,0.879|0.514,9.89|52.44,3344.4|831.8,24960.0|24960.0,1560|520,0|0,0|2,270,99840,3171.13
29,0.58973,82.964,2.36439,50.76,74.68,1.77466,0.01570713567684432,112.18,0.870|0.506,11.30|53.80,3345.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,267,99840,3283.31
30,0.54464,84.227,2.37634,50.85,75.48,1.8317,0.015358267949789966,112.006,0.876|0.508,10.29|53.39,3344.4|833.1,24960.0|24960.0,1560|520,0|0,0|2,268,99840,3395.31
31,0.50123,85.434,2.37399,51.57,75.33,1.87275,0.015,112.505,0.869|0.505,11.23|54.09,3345.4|834.5,24960.0|24960.0,1560|520,0|0,0|2,267,99840,3507.82
32,0.44962,86.896,2.39616,51.9,75.58,1.94653,0.01463296035119862,112.562,0.865|0.504,11.55|54.25,3344.4|832.2,24960.0|24960.0,1560|520,0|0,0|2,264,99840,3620.38
33,0.40277,88.387,2.41754,52.1,75.79,2.01477,0.014257792915650727,112.169,0.872|0.507,10.58|53.71,3344.4|831.6,24960.0|24960.0,1560|520,0|0,0|2,269,99840,3732.55
34,0.37635,89.153,2.45516,50.73,75.58,2.07881,0.01387515586452103,112.482,0.871|0.506,10.96|54.03,3344.4|833.3,24960.0|24960.0,1560|520,0|0,0|2,268,99840,3845.03
35,0.3373,90.342,2.39379,52.47,76.01,2.05649,0.013485720473218152,112.588,0.867|0.505,11.45|54.11,3344.4|831.1,24960.0|24960.0,1560|520,0|0,0|2,266,99840,3957.62
36,0.29312,91.612,2.41929,52.27,75.83,2.12617,0.013090169943749475,112.036,0.872|0.507,10.74|53.58,3345.4|831.3,24960.0|24960.0,1560|520,0|0,0|2,267,99840,4069.65
37,0.25168,92.92,2.41027,52.84,76.81,2.15859,0.012689198206152656,112.402,0.870|0.507,10.90|53.83,3344.4|831.9,24960.0|24960.0,1560|520,0|0,0|2,266,99840,4182.06
38,0.22958,93.652,2.35698,54.05,77.23,2.1274,0.012283508701106558,112.092,0.873|0.508,10.27|53.50,3345.4|834.5,24960.0|24960.0,1560|520,0|0,0|2,269,99840,4294.15
39,0.20689,94.409,2.44123,52.46,75.46,2.23434,0.011873813145857249,112.55,0.867|0.504,11.24|54.26,3344.4|831.0,24960.0|24960.0,1560|520,0|0,0|2,266,99840,4406.7
40,0.18238,95.144,2.38697,53.64,76.5,2.20459,0.011460830285624118,112.037,0.873|0.507,10.74|53.70,3345.4|833.0,24960.0|24960.0,1560|520,0|0,0|2,269,99840,4518.73
41,0.15025,96.24,2.40059,53.48,76.38,2.25034,0.011045284632676535,112.317,0.867|0.505,11.26|54.04,3344.4|835.8,24960.0|24960.0,1560|520,0|0,0|2,266,99840,4631.05
42,0.11898,97.251,2.31442,55.01,77.77,2.19544,0.010627905195293134,110.036,0.888|0.527,9.15|50.48,3344.4|831.7,24960.0|24960.0,1560|520,0|0,0|2,269,99840,4741.09
43,0.09383,98.009,2.30081,54.82,77.37,2.20697,0.01020942419883357,112.131,0.870|0.507,10.82|53.64,3345.4|832.7,24960.0|24960.0,1560|520,0|0,0|2,269,99840,4853.22
