epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.12661,2.096,4.71823,5.13,17.15,-0.40837,7.692307692307692e-06,116.832,0.969|0.631,1.24|40.42,3519.0|873.4,24960.0|24960.0,520|520,0|0,0|2,513,99840,116.83
2,4.32631,9.189,4.17665,10.88,30.56,-0.14966,0.004007692307692308,116.305,0.972|0.635,0.94|39.81,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,517,99840,233.14
3,3.78308,16.367,3.75488,16.23,40.68,-0.0282,0.008007692307692308,116.65,0.971|0.638,1.05|39.43,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,518,99840,349.79
4,3.38558,22.446,3.72319,19.18,43.83,0.33761,0.012007692307692308,117.508,0.961|0.628,1.97|40.85,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,509,99840,467.3
5,3.10005,27.678,3.53549,20.72,46.34,0.43544,0.016007692307692306,116.787,0.969|0.636,1.11|39.47,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,584.08
6,2.79689,33.205,3.09933,28.63,56.17,0.30244,0.02,119.163,0.948|0.622,3.19|41.94,3519.0|920.0,24960.0|24960.0,520|520,0|0,0|2,500,99840,703.25
7,2.52998,38.613,2.88884,33.44,60.98,0.35886,0.019991228300988585,118.28,0.958|0.630,2.11|40.64,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,511,99840,821.52
8,2.33172,42.814,2.7013,37.09,64.62,0.36959,0.019964928592495042,117.164,0.968|0.636,1.16|39.52,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,938.69
9,2.17091,46.14,2.86713,34.4,61.74,0.69622,0.01992114701314478,117.072,0.968|0.637,1.23|39.54,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,1055.76
10,2.03053,48.999,2.56888,39.09,66.0,0.53834,0.01985996037070505,117.347,0.966|0.636,1.33|39.69,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,518,99840,1173.11
11,1.90659,51.734,2.53639,39.93,67.7,0.6298,0.019781476007338056,117.28,0.968|0.636,1.16|39.59,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,1290.39
12,1.80254,53.915,2.53634,40.62,67.51,0.7338,0.01968583161128631,118.299,0.957|0.631,2.25|40.57,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,511,99840,1408.69
13,1.69126,56.467,2.46827,41.87,70.05,0.77701,0.01957319497532067,120.015,0.941|0.618,3.84|42.77,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,495,99840,1528.7
14,1.60547,58.372,2.49143,41.76,68.66,0.88595,0.01944376370237481,117.851,0.959|0.629,2.02|40.78,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,510,99840,1646.55
15,1.50657,60.63,2.29966,44.67,72.69,0.79309,0.019297764858882512,116.984,0.968|0.636,1.10|39.54,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,1763.54
16,1.42582,62.406,2.33224,45.83,72.77,0.90642,0.019135454576426007,118.022,0.959|0.629,1.95|40.66,3519.0|920.0,24960.0|24960.0,520|520,0|0,0|2,512,99840,1881.56
17,1.3389,64.422,2.33005,46.37,72.77,0.99115,0.01895711760239413,117.319,0.966|0.633,1.26|39.97,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,518,99840,1998.88
18,1.25744,66.133,2.37293,45.53,72.45,1.11549,0.018763066800438634,117.872,0.961|0.631,1.84|40.61,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,512,99840,2116.75
19,1.17438,68.19,2.24081,48.46,73.74,1.06643,0.018553642601605067,118.364,0.954|0.627,2.52|41.04,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,507,99840,2235.11
